,Title,Reviews_x,Most_Common_Gender_Cast,Most_Common_Gender_Directors
932,Zombieland: Mata y remata ,"""Humor turns every death into a 'punchline' and although the writers do a good job of making them funny (...) the tone of the film denies fundamental respect for human life."" , ""A constant disappointment that when it seems that it is going to come back, sinks immediately after in that depression from which it cannot escape. (...) The few novelties added to the repertoire do not translate into new rules with significant effect on a game that, at the first change, it already sounds too much like the laziness of the most-of-the-same. (...) Rating: ★★ (out of 5) "","" It is very entertaining for those of us who, paradoxically, we see zombies as comforting in a dark age "","" As good as the first (...) It is one of the best comedies of the year, and with tons of gore, it offers exactly what it promised. "" , ""Dodge most of the typical symptoms of a fatigued sequel (...) The adventures take wonderful new twists but don't deviate too much from the original idea"", ""Despite their good vibes and friendly references to the previous movie, 'Zombieland: Double Tap' is only entertaining when you do new things and that rarely happens. "","" A collection of goofy gags and charming new characters that make the sequel a good companion to the original. "" , ""Although you see intestines flying and skulls that open like a melon, the core of 'Double Tap' is made up of another soft organ: a big and silly heart"", ""It takes strength thanks to the chemistry and ingenious conversations that the protagonists (...) His great humor and casual madness are just what we need right now (...) Rating: ★★★ ½ (out of 5) "","" Definitely, 'Zombieland 2' does not follow rule number 1 from the aftermath: 'Don't wait ten years and give the public the same old stuff as before """", ""It doesn't have enough humor or charm to justify its existence (...) It is rooted in the past. It is a corpse franchise that shows no signs of coming back to life (...) Rating: ★★ (out of 5) "","" The rhythm of the action is capricious and the humor arrives with a dropper (...) Is it okay ? It's just a hobby we didn't need (...) Rating: ★★ (out of 5) "","" It is often enjoyable, sometimes very fun, and it has a momentum and energy that was lacking in the latest Fleischer movies ( ...) Rating: ★★★ (out of 5) "","" Removing the great chemistry between Emma Stone and Jesse Eisenberg, this sequel does not justify their existence (...) Rating: ★★ (out of 5) "", ""The characters still have great chemistry, but the script is a bit lazy (...) It develops frantically, but it looks like a low-quality '90s movie (...) Rating: ★★★ (out of 5) "","" A dead franchise. In this second part, everything is worse. The action sequences, their blood dances and brains in the wind, do not have that almost musical freshness (...) And the new characters (...) have nothing attractive "","" It is even more joyous and more hooligan than the first. (...) more fun, more political incorrectness, more riot, more debauchery (...) Rating: ★★★★ (out of 5) "","" The argument is tiny (...) there is a hilarious handling of social clichés ( ...) Perfect movie to laugh for a while and not cry. (...) Rating: ★★★ (out of 5) "","" The joke holds up just because the self-parodic side of the leading actors allows it, but each situation is stretched too far (...) Rating: ★★ (out of 5) "","" Second and equally fun portion of the saga (...) A wild, horny film, although sometimes the comic doesn't quite work, exaggerated, irregular and energetic (...). Everything has a limit, what am I going to tell you. "","" As much as it is still a rewarding and moderately incorrect diversion, the sequel, without detracting from it, does not contribute much either and stretches and recycles already known and predictable resources (...) Rating: ★ ★★ (out of 5) "","" An innocent cult at the beginning of two thousand, so far ideologically from what 2020 holds for us, magnified by a Tallahasee war cry: thank god for rednecks! (…) Rating: ★★★ (out of 5) "","" It is quite inferior to its precedent (..) However, (...) in a kind of assumed impossibility to surprise or give something original in this saturation of zombies the film finds its particular grace. (…) Rating: ★★★ (out of 5) "","" There is a lot of blood, heads and bodies destroyed, and the irreverent humor that remains as a mark of the saga ?, which may end right here. Because the script offers nothing new and everything is like a long hobby. "","" The production design, the deployment of sophisticated visual effects and the non-minor contributions of the Korean cinematographer Chung Chung-hoon (...) give him the film a spectacle that the public will know how to thank. "","" A new adventure where humor works very well again. (...) confirms what was achieved in 2009, once again harnessing the power of black humor and the absurd. "","" Choose something fun and smart: continue the joke, (...) The actors are all great and they have the courage to take this explicit and well-made nonsense with the seriousness of the great comedians. Score: ★★★ ½ (out of 5) "","" There are very good gags and elaborate visual work, but what director Ruben Fleischer lacks is giving a true plot to the different episodes, (...) hence the film can be described as a series of anecdotes joined by the same characters. "","" Pure recreation from a zombie catastrophe. Not as cool as its predecessor, but as effective as a double shot to the head of an undead. (...) Rating: ★★★★ (out of 5) "","" It is appreciated that the film is not shy in violence, which makes it a terrifying and action-packed job, as well as being extremely comical. (...) Rating: ★★★★ (out of 5) """,Men,Men
933,Cartas a Roxane ,"""Dynamic, fun and wonderfully designed (...) A splendid film that should be a box office hit and that is packed with energy and elegance"", ""Accepting the lack of substance behind its frivolous shell and its cascade of famous people (...) 'Cyrano, My Love' can be seen. "" , ""A wonderful period comedy, performed with energy (...) Visually splendid"", ""Michalik knows how to create a film that many people like with a mixture of banalities, art and passion."" , ""It does not delve into the author's inspiration and makes his well-known theatrical comedy (...) not have genuine emotions or palpable intensity (...) Rating: ★ ½ (out of 4)"", ""Perfect (... ) as a complement to Alice Wu's youthful and contemporary film (...) a bland first third (...) However, from the second third the film is arranged. "" , ""Marvelous (...) greatness, showiness and enormous qualities (...) Its plot artifact is ingenious (...) The theater sandwich within the cinema works with speed and grace (...) The actors are splendid (…) Rating: ★★★ (out of 5) "","" A story of creation and muses treated as a romantic comedy as well as a light vaudeville (…) Rating: ★★★ (out of 5) "","" The virtues ""Cyrano: mon amour"" appear well advanced the projection, and they are so eloquent that they surpass a past beginning of melosería. "" , ""The maremágnum screwball is so energetic that it forces to force the machine (...) it works, although it exhausts, thanks above all to the good work of the cast (...) Agile, pretty and complicit declaration of love for the theater. (... ) Score: ★★★ (out of 5) "","" A charming film that mixes elements of reality and fiction, paying a heartfelt tribute to the theater and the magic of cinema. (...) Rating: ★★★★ (out of 5) "","" Sympathetic praise to classical theater and unleashed creativity made with enormous visual quality. (...) is what is now called ""dramedia"" - half comedy, half drama - made with masterful touch. "" , ""The exaggerated dose of drama in 'Cyrano mon amour' prevents honest emotion, while his jokes only manage to ridicule her. (...) Rating: ★ ½ (out of 5)""",Men,Men
934,Lucy in the Sky ,"""It combines a different narrative style with very interesting visual ideas. However, its final part offers an overly exaggerated type of melodrama that does not agree with everything we have seen before."" , ""This boring and sterile dramatization of the scandalous scandal that exists related to an astronaut is not able to explain why a person changes after having 'touched' the skies."" ""It has some very ambitious visual flourishes and a bold performance by Natalie Portman, but it doesn't go deep enough into the ins and outs of human behavior."" , ""For some reason, Hawley becomes grand and theatrical when the original goal of the film would have been to block out all the cosmic sound and focus on what was going on in the protagonist's head,"" ""Hawley starts well, but he doesn't wear his I work beyond some very tenuous concepts about existentialist hopelessness, and even in that aspect everything seems very simple and poorly developed "","" In many ways, it is an ingenious and interesting film (...) But it also gives the impression that it is not it is completely clear how to disturb the viewer (…) Rating: ★★★ (out of 5) "","" It is quite disturbing to see a film that aspires to existential exploration and crashes into the earth, reduced to the bulletin of a stereotypical space case (...) Rating: ★★ (out of 5) "","" It has a lot of sweeping cosmic planes, and on the other hand, it tries to portray a human drama (...) But these two halves never come together as a whole "" , ""A discouraging mess and a waste cio of talent "","" A strange experience that tries to force too many subjects at the same time to the detriment of a heroine who would otherwise be fascinating "","" Natalie Portman fails in a psychodrama about astronauts that never invokes the heat of true fusion (. ..) Score: ★ (out of 5) "","" It is soap opera, scattered and, what is worse, boring in the first two acts of its history. By the time the climax comes, it is too late to worry about any of those characters. "","" The film decides to assert itself in a safer and more conventional terrain, which intertwines love spite with professional insecurities, rather than in those existential dimensions that promised. """,Men,Men
935,Cerca del horizonte ,"""Forced story about the vicissitudes of life, with (...) a lot of cotton candy. (...) It could well belong to the desktop of any television channel and still go unnoticed. (...) Rating: ★★ (out of 5) """,Men,Men
936,Sobre lo infinito ,"""Master Roy Andersson continues to add living paintings to what is undoubtedly one of the most important film corpus of recent decades. (...) A gateway to the great spectacle of human comedy. (...) Brilliant use of a depth of field that turns each scene into an ocean of revealing details, in a framework where you can find infinite stories. Score: ★★★ (out of 5) "","" Brief, bittersweet and exquisitely imagined, Roy Andersson's latest compilation of biting and existential sketches touches familiar territory and is fine, """" A divine comedy with moments of devilish wit (...) Lost souls and lonely hearts populate the delightfully bizarre follow-up to 'A Pigeon Sat on a Branch Reflecting on Existence' ( ...) Rating: ★★★★ (out of 5) "","" Give Roy Andersson 76 minutes, and he will give you the universe (...) 'About Endlessness' adopts the same qualities of life itself: it is, at the same time, brief and infinite "","" Sad, tender and complete lmente sublime "","" Light, oblique, absurd, sometimes caustic and sometimes melancholic (...) The original sense of humor that characterized the trilogy is less evident than ever "","" Andersson's consistency may make him a director especially for acolytes, but they will find [this film] a satisfying and richly resonant lesson in obliqueness and sometimes opacity, """" It is a scathing yet empathetic view of human behavior (...) Andersson moves in a field close to video art and visual aphorism. His new film refines a style as ambitious as it is easy to navigate. "","" 'About endlessness' insists on the keys to a dazzling cinema sculpted in silence (...) As always, like every masterpiece of cinematographic porcelain from Andersson, masterful . "","" Andersson appears to have a rather existentialist stance (...) there are also flashes of human warmth (...) they will not see a similar film (...) And it becomes very short: one is hungry for more altarpieces . (…) Rating: ★★★ (out of 5) "","" A hypnotic succession of meticulously composed scenes in which, through absurd humor and affectionate misanthropy, it is suggested that the human race is a strangely welcoming place and at the same time bleakly inhospitable to belong to. "","" Andersson, in a concise hour and a quarter of footage, condenses a contemporary version of ""One Thousand and One Nights"" (...) Many will claim that Andersson has been making the same film for decades, but the truth is that his style is still alive, he continues to bring new things "","" This is one of the most hypnotic works of the unclassifiable Swedish filmmaker, one of those films in which you are allowed to rest your eyes on the frame as long as necessary. (…) Rating: ★★★★ (out of 5) "","" It proposes a sharp portrait of the paradoxes of the human condition (...) It is devastating without falling into cruelty, exciting but never sentimental, ambitious but allergic to grandiloquence. (…) Rating: ★★★★ (out of 5) "","" Confirms that no one films human misery with such strange and disturbing beauty [as Andersson]. With the colors washed out, a general shot (...) the images obtained by Andersson resemble hyperrealistic pictures in movement """,Men,Men
937,The Boat ,"""A claustrophobic thriller (...) manages to keep you spellbound for the duration of the (...) Rating: ★★★ ½ (out of 5)"", ""'The Boat' is a masterful work presenting a story of survival at sea creating a sense of threat and mystery. A tense and exciting journey into the unknown. "" , ""Winston Azzopardi knows how to handle a luxury yacht (...) The rhythm is not his forte and the script, co-written by Joe Azzopardi, becomes repetitive and predictable""",Men,Men
938,Noches mágicas ,"""Light, agile, fun and somewhat sad (...) It usually hits the spot when showing the absurd characters, the lifestyles and the ideas (and ideals) of those years [the 90's] that now seem funny to us."" , ""With a nostalgic structure and with a fun, satirical, sometimes grotesque tone, the movements of the three young protagonists are defoliated (…) Rating: ★★★ (out of 5)"", ""Bittersweet, nostalgic and delicious comedy (. ..) a clear and beautiful tribute to the great Italian cinema (...) Virzì's message is bitter, but he manages to swallow it with a smile (...) a beautiful comedy (...) Rating: ★★★ ½ (out of 5) "","" It stands as a nice and attractive proposal, as well as a tribute to a time and a way of making and thinking about cinema that has gone away and never again. (...) Rating: ★★★ (out of 5) "","" Love letter to Italian cinema (...) Within a story with ups and downs, with some failed comedy steps, Virzì manages to recreate the spirit of an extinct universe. "" , ""All'italian comedy -exalted, kitsch, sensual, talkative- (...) a film that observes a mythology that is permed at certain moments with irony, at others with a playful spirit (...) and finally with a bittersweet nostalgia. "" , ""If something is not missing from 'Notti magiche' it is rhythm. That quality of sketches contained in themselves can be understood as a general demerit, but sometimes it becomes a virtue."" ""The film follows a bizarre path in which the rhythm wants to be so dizzying that it cannot stop despite falling into inconsistencies."" , ""The best Italian costumbrista cinema of bygone days peeks out from every crack of Virzi (...) and Archibugi's self-referential script."" , ""Good comedy, typical of that [Italian] cinema, good picture of a time gone by, precious characters, precise interpreters.""",Men,Men
939,Madre ,"“‘ Mother ’went from short to long, and with it, ironically ended up reduced to an insurmountable disaster. (...) An annoying erratic feeling takes over a narration determined to turn around on itself. (...) The strength of the story is the exclusive property of Marta Nieto, a pity that everything around her plays against her. (...) an unrecognizable Sorogoyen, unable to materialize that formidable opening. (...) Rating: ★★ (out of 5) ”,"" Impressive (...) it is undeniable that Sorogoyen is a master filmmaker "","" An ambiguous film, designed in a split way, so full of emotions and broken ideas and Interesting, that it is difficult to foresee a satisfactory ending (...) Sorogoyen goes round in the stretched final stretch "","" [Sorogoyen] demonstrates a masterful control of the emotional rhythms that ebb and flow throughout the film (... ) The mystery is everywhere in 'Madre' "","" Extraordinary feature film (...) a film that dares to be different. It works because it has a strong central character, impressive aesthetics and planes that move like a ballet. "" , ""Mysterious, disturbing and, at times, somewhat discouraging, 'Mother' would not be what it is, a more than good and bold imperfect film, without the superb work of Marta Nieto"", ""An enormous actress (...) a darkly lit or glowingly murky film. Despite the misalignments of the somewhat lost narration, the centrality of Marta Nieto's gaze matters. "" , ""Sorogoyen is focused on what is easy to foresee and (rightly or not, but it is his choice) avoids the cloak of the detective plot and takes up the story for its less« peliculero »but more complex place (…) Rating: ★★★ (out of 5) "","" Sorogoyen uses the panoramic format very well and films open or closed spaces like few others, but some elements of the script appear too forced and break the dramatic naturalness (…) Rating: ★★ (out of 5) "", ""Faced with a very calculated prologue, the film turns the emotional and narrative uncertainty of its central core into its best asset. (...) a film at the service of Marta Nieto's talent, impressive (...) Rating: ★★★ ( on 5) "","" Rodrigo Sorogoyen's most mature and interesting feature film of his filmography to date. (...) Marta Nieto gives us one of the best performances of the year. (…) Rating: ★★★★ (about 5) "","" Few current films have the courage (and the virtue) to articulate a narration on the edge from the cliff without falling off. (...) whose rich conceptual depth is at the height of his impeccable pyrotechnic mastery (...) Rating: ★★★★ (out of 5) """,Men,Men
940,Bacurau ,"""A visually impressive thriller but whose rhythm is irregular. It seems that it is made to be analyzed instead of enjoyed"", ""A marvelous and insane western (...) Little by little this hallucinatory and surprising cocktail is taking on the sharpness and the daring from the classics of Cinema Novo "","" A western of paranoid revenge that reminded me of Clint Eastwood in 'A Fistful of Dollars' (...) It is a very original film, executed with implacable clarity and strength (... ) Score: ★★★★ (out of 5) "","" Combine comedy with a plot that looks like a fable and a touch of magical realism. It is a very substantial mix, but perhaps too much, and ends up looking overburdened and underdeveloped. "" , ""Its mix of satire and savagery is quite daring, interesting and unique (...) The film destroys your prejudices and scatters them on the ground (...) Rating: ★★★★ (out of 5)"", ""A controversial comment on the direction the country is taking in the Bolsonaro era. The story has momentum and does not stop developing the personality of the community "","" It is disturbing and chaotic, a feverish dream for a disturbing and chaotic time of Brazil. Sometimes it is also very entertaining (...) It delights us with gender elements. "" , ""'Bacurau' is a choral work that is difficult to define, with its zigzagging between genres, but in the end it is worth it (...) It is a style lesson"", ""A futuristic satire that turns into a festival bloody somewhat lazy (...) I liked the first half (...) Rating: ★★ (out of 5) "","" It is full of suspense and it is also very funny (...) It lives up to 'Parasite '(...) Rating: ★★★★★ (out of 5) "","" Maybe you will lose your mind a bit with a final stretch in which the blood overshadows the message, but surely you are having such a good time that you will not bother (...) Rating: ★★★★ (out of 5) "","" The film surprises you at all times. Braga, Kier and Pereira stand out in a stellar cast (...) Rating: ★★★★★ ( on 5) "","" Dystopian and lysergic Wéstern with a base of magical realism (...) capable of keeping the most baffled (...) brutal and excessive viewer on edge "","" An unexpected action movie. Magic half, the other brutal half. (...) such a great movie It is as clean as nuances. Either it is taken at once or thrown into the fire. There is no middle ground. "","" Although the intrigue, the action, is crushed by the easy metaphor and the fabric of the cliches, the portrait of the social and cultural diversity of the inhabitants of that town retains all the interest and is showy (…) Rating: ★★ (out of 5) "","" It is proposed as a very unique dystopian fable, and at the same time as a spaghetti western and a rereading of John Carpenter's cinema (...) The contrast is as stimulating as the drifts of the film itself plot "","" Curious, extravagant and intelligent production (...) Anything is possible in this lysergic, political, violent and retro futuristic story, and therein lies the pleasure of the film, in its freedom of movement. (…) Rating: ★★★★ (out of 5) "","" A retro-futuristic and lysergic Brazilian-style western (...) It is, in short, a visually very joyous extravagance "","" While remaining in tune with the modes of Magical realism, satisfied to be genuinely rare cinema, is a completely enjoyable work. As soon as it decides to function more obviously as an allegory of the danger that Bolsonaro poses to Brazil, it loses part of its grace. "","" A film that is sometimes brilliant, at times grotesque, always excessive, less pervasive than it denounces. . (...) is a powder keg of genres in pursuit of social utopia (...) Rating: ★★★ ½ (out of 5) "","" A particularly bold proposal (...) a striking metaphor of contemporary Brazil (.. .) a work as difficult to classify as stimulating and original "","" A powerful film that combines gender and politics in equal and equally effective parts. "","" A powerful film in the narrative and visual fields, as intoxicating as it is uncomfortable in its eyes , although not too subtle. (...) Rating: ★★★ ½ (out of 5) "","" The film has neither the rhythm, nor the delicacy with which they took the central theme in 'Aquarius' (...) the change of register of Kleber Mendonça Filho is notorious, (...) for the literalness of the images, for that confusion that limits and plays too much with surprise. "","" Authentic unidentified visual object (...) A kind of wild spaghetti western, that allows itself to drink both in the genre created by Sergio Leone and in the deep tradition of the Northeast “cangaceiros” that Glauber Rocha's cinema recovered in the 1960s. "","" As a genre film, (...) fulfills the primary mission of entertaining. And it is loaded with perplexing details that enrich and offset the general predictability of the great story. "","" Mendonça Filho and Juliano Dornelles never lose the compass and end up building a fascinating and devastating fable about the near future that, perhaps, almost without realizing it, It has arrived. "","" With references to references to spaghetti western, gore, science fiction and, of course, Glauber Rocha's work, the new film by the director of 'Aquarius' adds Sonia Braga to a more cinephile allegory what a policy. "","" The good thing about the film is that it might happen, too, anywhere on the planet. The film genre used as a tool for universality in a remarkable film. (...) Rating: ★★★★ (out of 5) "","" 'Bacurau' is the latest example of this noble exercise of using a cinematographic genre to show and denounce an unacceptable social order. "","" Peca (.. .) of incomprehensible. (...) Although it is a clearly allegorical film, it remains to be found out what elements of Brazilian reality they want to represent. There is a lot of music, a lot of colors, violence ... and inconsistency. "","" Taking fantasy genre cinema and a plot of violent action as a pretext, the directors offer one of the most provocative and timely political narratives in Brazilian cinema today. """,Men,Men
941,Invisible ,"""The director-screenwriter Claudia Myers brings some imagination to a story that is deeply tremendously conventional, considering the intelligence of her premise."" , ""It would go unnoticed if it were not for the presence of Olivia Thirlby in the main role""",Men,Women
942,1917,"""Visually stunning (...) This is virtuous cinema that will make aesthetes squirm with pleasure, but will also satisfy ordinary viewers."" , ""One of the greatest technical achievements of the year (...) It is an impressive cinematographic work, admirable both for its complexity and for its control"", ""Mendes represents the 1st World War as we have never seen it before: horrible and beautiful, Immersive and distant, immediate and at the same time removed from our personal experience. "" , ""One of the best films of 2019 (...) A stimulating journey, masterfully elaborated and emotionally overwhelming. Beautifully recorded, with good rhythm and impressive in its recreation of the time"", ""Mendes totally succeeds in creating sequences that connect the impulse forward of the film and emotional reflections (...) His message is direct but always effective "","" A technical achievement. And a very emotional story about heroism under fire (...) Rating: ★★★★ ½ (out of 5) "","" A new classic of war cinema (...) Much of the recognition goes to Mendes for knowing how to balance the technical section with the interpretations (...) Rating: ★★★★ (out of 4) "" , ""A fascinating and evocative work that will surely change the way in which war stories are recorded and how we process their lessons a century later (...) Rating: ★★★★★ (out of 5)"", ""Sam Mendes and cinematographer Roger Deakins have created something truly unique (...) MacKay and Chapman are They are excellent "","" Since he is not interested in glorifying the spectacle of war, Mendes uses a technological device to try to find a new type of cinematic truth. I think he does it halfway. """" It's a technical marvel, not only for Deakins, but also for his brilliant sound design, visual effects, and Lee Smith montage. """" Roger Deakins effectively brings the viewer into the center of the history and keeps his interest (...) The film belongs to Chapman, but especially MacKay "","" Masterpiece (...) A surprisingly bold film; as exhilarating as a heist movie and as disturbing as a science fiction nightmare (...) Rating: ★★★★★ (out of 5) "","" The best film of Sam Mendes' career (...) A vibrant, powerful, hectic, immersive and constantly moving action show (...) Rating: ★★★★★ (out of 5) "","" The director should be applauded for his bravery (...) The film has a audacity that is completely unexpected "","" It makes evident the limitations of immersive cinema (...) Although its two-shot structure increases claustrophobia, it needs constant action (...) Rating: ★★★ (out of 5) "","" Her images are amazing, but it is difficult to connect with her on an emotional level (...) Rating: ★★★ (out of 5) "","" It seems like a lifeless video game (...) The direction of Mendes is meticulous and the photography Deakins is majestic (...) Rating: ★★★ (out of 5) "","" It represents a triumph of technique, but as a production it offers some questionable results (...) Rating: ★★★ (out of 5) "","" Despite its dramatic shortcomings, Universal Pictures begins the year with an impressive war epic that serves as a testament to Mendes' technical ability "","" Seeing '1917' is an overwhelming, enveloping and arduous experience (…) Rating: ★★★★ ½ (out of 5) "","" The road is the important thing and in that sense, '1917' is impressive (...) Rating: ★★★★ (out of 5) "","" Many things have been said about Mendes's decision to film everything with a continuous shot (...) but that masterful control of the medium does not prevent us from connecting with the two young people (...) Rating: ★★★★★ (about 5) "","" Mendes allows enough reality to filter through to remind us that the terrors of yesteryear are exciting (...) Rating: ★★★★ (out of 5) "","" Mendes, to convey this story of fear, of mud and filth, he has invented an impressive language with his camera (...) MacKay and Chapman [are] the ones who carry the absolute weight in this distressing and surprising film. "","" Film that vibrates ra, spectacular and feverish, as aware of the enormity of what is narrated as attentive to each of the gestures, delicate and minimal, that shape everyday life, emotion and even rage. (…) Rating: ★★★★★ (out of 5) "","" Amazing, impressive and masterful film (...) one wonders how Sam Mendes has been able to combine the impressive machinery of the staging with the intimacy of the interpretations (…) Rating: ★★★★ (out of 5) "","" The technical virtuosity of Sam Mendes communicates the feeling of distress of the combatant in real time (...) Rating: ★★★★ (out of 5) "", ""Do not believe the wonders that have been written about this narcissistic show (...) it is impressive, yes, but it gives the feeling of being more a catalog of tricks than a work truly committed to the issue it claims to be dealing with (... ) Score: ★★ (out of 5) "","" With the same pulse for the violence that he showed in 'Camino a la perdición' and 'Skyfall', the director (...) also aspires to show how adrenaline and fear they shape our perception of time (…) Rating: ★★★★ (out of 5) "","" An immersive experience (...) [Mendes] claims the camera as the only element that generates emotions through the staging and the formal and stylistic proposal. (…) Rating: ★★★★ (out of 5) "","" Although one could enter into comparisons with films such as 'Birdman', Sam Mendes is not Iñarritu, and things are always kept warm and controlled. Mendes understands more about characters and also knows how to create an excellent war thriller. "","" Technical virtuosity overshadows complexity. The denunciation and reflection on the war take second place. "","" It starts from being a technical boast, but when it is accompanied by an enormous dramatic sense and is put at the service of a clear discourse, it borders on virtuosity. A cinematographic experience that should not be underestimated. "","" What makes 1917 shine the most is the technical feat with which it is constituted; something that, of course, is not demeritory. (...) Rating: ★★★★★ (out of 5) "","" Everything is monumental and grandiose, as if the physical and moral devastations of the great war of 14-18 had to be seen through the distorting prism of the Hollywood's representation for years of what the next great war was like. """" That's the problem with the film. One spends his time concentrating on technique and not on the drama of the characters. And where was the anti-war speech? Well hidden there in the scenery. "","" Mendes and Deakins intend to plunge us into the devastation of war, they do it with a couple of sequences out of this world, of immensity and beauty that soon shake the evocation to the video game format. "","" A frenetic and eternal incredibly mobile shot-sequence that suppresses points of view while diversifying and deepening the richness of the individual experience and the empathy of the spectator without reducing it to the automatism of a pre-programmed video game mechanic. "","" It is a journey frantic with very good moments of tension, although deep down in the war genre you can find issues of greater emotional and dramatic complexity. But his audiovisual audacity gives him aesthetic and cinematographic value per se. "","" Visually and technically impeccable (...), this film focused on a dangerous mission during the First World War does not go much beyond its indisputable formal achievements. "","" Much has been said and written about the cinematographic prodigy that is '1917', starting from being told in sequence, as if it were all a single shot. But Sam Mendes' film is much more than that. "","" Beyond the undoubted artistic virtuosity (...), the idea is to transcend the mere technical prodigy (...) to transmit to the viewer the purest, most direct sensation , credible, immersive (and less manipulative) of the cinematic experience. "","" A survival adventure made with undoubted profession in which the clock is an enemy as much or more dangerous than the Germans, but whose intoxicating effect extends not much beyond the beginning of the credits. "","" A film that brings together the best of technique and the overwhelming sensitivity of talented people. "","" It does not live up to the responsibility of the theme it narrates. (...) is an imitation of the odd notable film from a cinematographic tradition that has lavished memorable titles. "","" The film's visual delight combines with the work of two actors, relatively new, but who effectively manage each movement and emotion. """" The cinema is full of beautiful and powerful images. The point is that if a movie only has this, it will hardly feed the most formalist viewers. """" At the end of the film, you get the impression that you've had a more poetic experience — which is largely due to work with the light of Deakins— how dramatic. "","" The visual realism of '1917' reaches a crazy and paroxysmal reconstruction, with a production design where the magma of mud, rotting corpses turned into shelter and food for rodents, knows no precedents . "","" Impersonal and interchangeable. "","" Here the horror (...) is something blurred and deafening, an automatic fulfillment of orders, not mediated by reflection or by possible questioning, in which heroism is located in the obedience and nothing else. Score: ★★ ½ (out of 5) """,Men,Men
943,303,"""Weingartner is a bit crude in exposing how some insights from Jan delve into Jule's deep wounds, but the naturalistic record that the two performers embroider is imposed on the ingenuities of dramatic development."" , ""In the first scene they argue because of suicide; it is not very credible (...) But later the film acquires a more logical tone and delves well into the personal conflicts of both. (...) Rating: ★★★ ( out of 5) "","" A relationship that would seem impossible in today's tinderized times. One of those life-changing trips, although we have already done it before. (…) Rating: ★★★ (out of 5) "","" Road light, friendly and optimistic movie (...) A success of the film is that neither of them is a handsome guy to use. (…) Rating: ★★★ (out of 5) """,Men,Men
944,El ritmo de la venganza ,"""Her occasional winks towards pseudo-feminist empowerment only exacerbate her protagonist's inconsistency (...) Rating: ★ (out of 4)"", ""Just when she has seemingly reached the limits of stupidity, a romance suddenly blossoms and pointless, even within the totally absurd world of history "","" It is destined to be seen on a million long-distance flights, but it works perfectly well as a thriller (...) Rating: ★★★ (out of 5) "","" Liosa, but very promising (...) It is thanks to Lively that Stephanie is a character to follow, despite the annoying details of the script and the rhythm (...) Rating: ★★★ (out of 5) "" , ""Twenty years ago, this could have gone through decent commercial cinema; but, by 2020, it seems overly simplistic and it's its lack of sophistication that definitely slows you down (...) Rating: ★★★ (out of 5 ) "","" A baffling hybrid between 'Nikita' and 'The Girl With The Dragon Tattoo' ... whenever you're Deadly killers were infuriatingly inept and in constant need of rescue from their male mentors, """" The plot of this female revenge thriller may be a cliche, but Blake Lively manages to sell it, playing an action heroine who fights as a real person: bad "","" His name is Bond. Jane Bond (...) the result comes with all the power of a mixed martini, but not shaken, but without the alcohol (...) Rating: ★ ½ (out of 4) "","" It takes a widely seen genre material and takes away all the substance and naivety, leaving only an underdeveloped plot, an empty character, and a totally undeserved sense of seriousness, """" Blake Lively wears so many wigs that the fights begin to remind him of a sketch from the Carol Burnett show. It is one of the many unintentionally comic aspects of the movie, """" A Capital Disaster. (...) each thing that happens is more ridiculous than the previous one in the script (...) it does not even reach the revenge tape of series B of the eighties "","" The result is rather less stimulating (.. .) It is legitimate to gather difficulties in the production, which then appear in cavernous cracks in the script, poor character development (...) and other minutiae (...) Rating: ★★ (out of 5) "","" Everything that we provides director Reed Romano is a handful of solid action scenes with Blake Lively connected to each other for virtually nothing. (...) succession of plot gaps (...) Rating: ★★ (out of 5) "","" It is a shame that the last third of the film takes those plot shortcuts that blur the ever gratifying experience of seeing Serena van der Woodsen kicking ass. (…) Rating: ★★★ (out of 5) "","" He is very Ian Fleming in the dryness and delirium of his violence, but (unusually) he looks for a dead end Trevanian or Len Deighton in his asus style. (…) Rating: ★★★ (out of 5) "","" Half drama about a traumatized woman and half a movie about espionage and international crimes, this thriller stays halfway between genres without ever unifying them. """,Men,Men
